"federal_census_division","province","population","area_km2","population_density_per_square_km"
"Avalon","NL","87191","6357.25","13.7"
"Bonavista--Burin--Trinity","NL","71898","16529.46","4.3"
"Coast of Bays--Central--Notre Dame","NL","74201","38674.01","1.9"
"Labrador","NL","26655","258539.40","0.1"
"Long Range Mountains","NL","81716","37319.17","2.2"
"St. John's East","NL","87345","328.38","266.0"
"St. John's South--Mount Pearl","NL","81544","422.71","192.9"
"Cardigan","PE","39866","2547.64","15.6"
"Charlottetown","PE","38809","44.27","876.6"
"Egmont","PE","35925","1482.86","24.2"
"Malpeque","PE","39731","1606.40","24.7"
"Cape Breton--Canso","NS","71380","8733.07","8.2"
"Central Nova","NS","73188","9280.95","7.9"
"Cumberland--Colchester","NS","82014","7903.27","10.4"
"Dartmouth--Cole Harbour","NS","96165","89.99","1068.6"
"Halifax","NS","107010","214.58","498.7"
"Halifax West","NS","111944","227.31","492.5"
"Kings--Hants","NS","87744","4117.46","21.3"
"Sackville--Preston--Chezzetcook","NS","89524","645.18","138.8"
"South Shore--St. Margarets","NS","94482","8461.63","11.2"
"Sydney--Victoria","NS","72361","4282.09","16.9"
"West Nova","NS","83571","8869.18","9.4"
"Acadie--Bathurst","NB","77594","5052.81","15.4"
"Beauséjour","NB","88797","3991.60","22.2"
"Fredericton","NB","87436","1499.26","58.3"
"Fundy Royal","NB","83721","7225.65","11.6"
"Madawaska--Restigouche","NB","60184","11681.73","5.2"
"Miramichi--Grand Lake","NB","57520","16837.24","3.4"
"Moncton--Riverview--Dieppe","NB","101237","154.68","654.5"
"New Brunswick Southwest","NB","67781","9885.70","6.9"
"Saint John--Rothesay","NB","81996","390.37","210.0"
"Tobique--Mactaquac","NB","69344","14529.46","4.8"
"Abitibi--Baie-James--Nunavik--Eeyou","QC","89087","731401.36","0.1"
"Abitibi--Témiscamingue","QC","103735","33230.90","3.1"
"Ahuntsic-Cartierville","QC","118170","21.68","5451.5"
"Alfred-Pellan","QC","102020","113.41","899.6"
"Argenteuil--La Petite-Nation","QC","102311","4890.26","20.9"
"Avignon--La Mitis--Matane--Matapédia 2","QC","70253","14433.20","4.9"
"Beauce","QC","111034","4100.97","27.1"
"Beauport--Côte-de-Beaupré--Île d’Orléans--Charlevoix","QC","95736","11115.81","8.6"
"Beauport--Limoilou","QC","96064","33.35","2880.7"
"Bellechasse--Les Etchemins--Lévis","QC","120179","3201.11","37.5"
"Beloeil--Chambly","QC","125359","377.68","331.9"
"Berthier--Maskinongé","QC","105280","4114.68","25.6"
"Bourassa","QC","105637","13.54","7802.7"
"Brome--Missisquoi","QC","113913","2779.12","41.0"
"Brossard--Saint-Lambert","QC","114286","52.75","2166.4"
"Bécancour--Nicolet--Saurel","QC","96439","2743.24","35.2"
"Charlesbourg--Haute-Saint-Charles","QC","109690","111.29","985.6"
"Chicoutimi--Le Fjord","QC","80593","2534.54","31.8"
"Châteauguay--Lacolle","QC","105111","903.49","116.3"
"Compton--Stanstead","QC","111088","4554.83","24.4"
"Dorval--Lachine--LaSalle","QC","119395","49.70","2402.1"
"Drummond","QC","107967","1599.10","67.5"
"Gaspésie--Les Îles-de-la-Madeleine","QC","75927","16783.86","4.5"
"Gatineau","QC","107286","118.79","903.1"
"Hochelaga","QC","108264","19.57","5531.7"
"Honoré-Mercier","QC","104578","37.71","2773.1"
"Hull--Aylmer","QC","110881","62.45","1775.5"
"Joliette","QC","112418","8124.04","13.8"
"Jonquière","QC","91073","37641.59","2.4"
"La Pointe-de-l'Île","QC","110486","41.44","2665.9"
"La Prairie 2","QC","114968","277.52","414.3"
"LaSalle--Émard--Verdun","QC","107564","18.89","5695.4"
"Lac-Saint-Jean","QC","103886","55366.57","1.9"
"Lac-Saint-Louis","QC","110093","78.21","1407.6"
"Laurentides--Labelle 2","QC","123796","17587.83","7.0"
"Laurier--Sainte-Marie","QC","116932","10.36","11286.1"
"Laval--Les Îles","QC","111784","46.09","2425.2"
"Longueuil--Charles-LeMoyne","QC","112257","37.44","2998.0"
"Longueuil--Saint-Hubert","QC","115082","55.23","2083.8"
"Louis-Hébert","QC","111322","94.40","1179.2"
"Louis-Saint-Laurent","QC","123123","138.01","892.2"
"Lévis--Lotbinière","QC","118608","2065.42","57.4"
"Manicouagan 2","QC","88525","234442.27","0.4"
"Marc-Aurèle-Fortin","QC","104636","52.55","1991.0"
"Mirabel 2","QC","132930","836.53","158.9"
"Mount Royal","QC","108494","22.63","4795.0"
"Montarville","QC","100515","150.28","668.9"
"Montcalm","QC","118746","873.04","136.0"
"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup","QC","96724","7310.10","13.2"
"Mégantic--L'Érable","QC","88894","5930.40","15.0"
"Notre-Dame-de-Grâce--Westmount","QC","105601","16.04","6582.7"
"Outremont","QC","103620","11.94","8677.6"
"Papineau","QC","110813","9.90","11197.3"
"Pierre-Boucher--Les Patriotes--Verchères","QC","103020","685.16","150.4"
"Pierrefonds--Dollard","QC","109497","50.74","2158.0"
"Pontiac 2","QC","129781","26974.07","4.8"
"Portneuf--Jacques-Cartier","QC","123243","7157.43","17.2"
"Québec","QC","98772","34.49","2863.7"
"Repentigny","QC","119204","198.59","600.2"
"Richmond--Arthabaska","QC","110651","3427.45","32.3"
